"dataset"	"p"	"q"	"gamma"	"beta"	"beta_corrected"	"R0"	"R0_corrected"	"gamma_bayes_mean"	"gamma_bayes_median"	"beta_bayes_mean"	"beta_bayes_median"	"R0_bayes_mean"	"R0_bayes_median"
1	1	0.6	0.050665794638311	0.165259623235088	0.181012829886494	3.26175922858471	3.84689541130311	0.0513839755475897	0.0502458046276392	0.182115296116362	0.175237933879728	3.83410916454253	3.52063689487866
1	1	0.8	0.050665794638311	0.165259623235088	0.1766445335628	3.26175922858471	3.84061086811115	0.0509800928509637	0.0493227376676201	0.179890076510148	0.173493121426213	3.79284903032576	3.63138367629823
1	1	1	0.050665794638311	0.165259623235088	0.167667841593896	3.26175922858471	3.82440183391675	0.0506150764791111	0.0480260482702412	0.180796429142462	0.177188020074297	3.84453824199208	3.59642784649202
2	0.4	0	0.048668191647411	0.175981741407032	0.151443926315239	3.61594987300898	4.03591636817479	0.048668191647411	0.048668191647411	0.194919837083205	0.187704731745436	4.0050766318862	3.85682568823002
2	0.4	0.2	0.0474821955804989	0.193221858676399	0.193991606052284	4.06935391917211	4.97960809085959	0.0474821955804989	0.0474821955804989	0.212460177514851	0.201349143833623	4.47452302736628	4.24051881704302
2	0.4	0.4	0.0497701704591227	0.195218463162014	0.220284437069456	3.92239892612686	5.1287336410722	0.0497701704591227	0.0497701704591227	0.203110945970572	0.197835504959837	4.08097750312894	3.97498146248711
2	0.4	0.6	0.0499651690023668	0.149564067477643	0.131152424155834	2.993366588444	3.54672031173272	0.0499651690023668	0.0499651690023668	0.190276819540181	0.189307655536928	3.80818925141967	3.78879245916211
2	0.4	0.8	0.0501822348729142	0.137857540214032	0.140730640047287	2.74713831624187	3.17349460365512	0.0501822348729142	0.0501822348729142	0.199682679598183	0.194492855363815	3.97915079118888	3.87573123947877
2	0.4	1	0.0508001641386397	0.121406229433357	0.11726113327097	2.38987868428978	2.6367503410855	0.0508001641386397	0.0508001641386397	0.199228811137221	0.195173798450661	3.92181431921168	3.84199149274416
2	0.6	0	0.0505317467892571	0.210907471840687	0.204432928289185	4.17376174863454	5.13947445719043	0.0505317467892571	0.0505317467892571	0.199559481287831	0.193279400882063	3.94919024113879	3.82491034177258
2	0.6	0.2	0.0515289449793695	0.180742147914757	0.156472925138106	3.50758487267923	4.1440084239973	0.0515289449793695	0.0515289449793695	0.176120780205837	0.171716809941447	3.41789998371497	3.33243403314772
2	0.6	0.4	0.0538129652359232	0.193343585405916	0.188278131780491	3.59288109395704	4.45952395948862	0.0538129652359232	0.0538129652359232	0.21460498431959	0.209884576910578	3.98797916782199	3.90026039246149
2	0.6	0.6	0.0511965283307705	0.158307286317668	0.166746348307322	3.09214885225959	3.55577438077962	0.0511965283307705	0.0511965283307705	0.190102291581403	0.186488996232466	3.71318715896496	3.64261019863687
2	0.6	0.8	0.0504084264320668	0.155675719498497	0.17022115225564	3.08828762406012	3.72696561100843	0.0504084264320668	0.0504084264320668	0.197495804984302	0.191806872038653	3.91791251905985	3.80505573402778
2	0.6	1	0.0486510213903776	0.145852152546014	0.158130857676158	2.99792580664836	3.66292010172187	0.0486510213903776	0.0486510213903776	0.205992333054609	0.200068050297916	4.2340803372188	4.11230935302595
2	0.8	0	0.0527128168867083	0.172706427730466	0.176120414674434	3.27636498921413	3.76025211359911	0.0527128168867083	0.0527128168867083	0.190023427722308	0.186024550178931	3.60488091787451	3.52901933847966
2	0.8	0.2	0.0505091874115357	0.168292849450218	0.178671251396854	3.33192549860309	3.90812212695482	0.0505091874115357	0.0505091874115357	0.183086541076814	0.179935789240615	3.62481660188022	3.56243682509768
2	0.8	0.4	0.0510871604029445	0.176227948319923	0.182645164453304	3.44955458338149	4.13644116631577	0.0510871604029445	0.0510871604029445	0.192477790848569	0.190768376598939	3.76763533792876	3.73417459679249
2	0.8	0.6	0.0514005605323481	0.169709273782605	0.181789758236631	3.30170083798602	4.00514938333083	0.0511060845122498	0.0503350403055237	0.183517233499684	0.178913646374713	3.86042271134904	3.64585171762792
2	0.8	0.8	0.0517657839628312	0.16115063158297	0.180246788133407	3.11307236646274	3.77684675399527	0.0517657839628312	0.0517657839628312	0.190155281308903	0.178205041625935	3.67337779420936	3.44252569909671
2	0.8	1	0.0518435657620239	0.148982872749629	0.152826200600978	2.87370034371288	3.26699036410374	0.0518435657620239	0.0518435657620239	0.190516328660909	0.183330394793537	3.67483073088434	3.53622271344284
2	1	0	0.0514005605323481	0.169709273782605	0.171873547042973	3.30170083798602	3.92048449836686	0.0509472045095287	0.0505608558909346	0.182334137975526	0.17868811738519	3.91030109751229	3.48586527199296
2	1	0.2	0.0514005605323481	0.169709273782605	0.178621877726965	3.30170083798602	3.90658664578316	0.0511202047846874	0.0502474828133187	0.179350128808313	0.173756312358289	3.76539699147102	3.42065202921334
2	1	0.4	0.0514005605323481	0.169709273782605	0.177737698974838	3.30170083798602	3.89235621318263	0.0519793054928054	0.050901325336794	0.184957962031561	0.182294544762575	3.83749716647824	3.58973511123837
2	1	0.6	0.0514005605323481	0.169709273782605	0.18150844921656	3.30170083798602	3.90568806507674	0.052182419505373	0.0519317470793326	0.185998438514737	0.18094265480349	3.77377660868219	3.51725822191572
2	1	0.8	0.0514005605323481	0.169709273782605	0.181494773164682	3.30170083798602	3.88039196503312	0.0502501396091514	0.0489698124200815	0.185857865286904	0.180458540791421	3.94946697749097	3.67981020042066
2	1	1	0.0514005605323481	0.169709273782605	0.172098273048595	3.30170083798602	3.80747813910908	0.0515599756830618	0.0504337043691689	0.185844508540993	0.181988655107195	3.90902897498551	3.63335329420816
3	0.4	0	0.053485929639026	0.238153505014147	0.220610756593838	4.45263841577465	5.56865553841518	0.053485929639026	0.053485929639026	0.209474831869849	0.20334717288819	3.91644743362571	3.80188162121459
3	0.4	0.2	0.0546321795559235	0.187286128004655	0.152150406017745	3.42812843139349	3.97251168613325	0.0546321795559235	0.0546321795559235	0.212347033188931	0.203094499073673	3.88684901307232	3.71748849715538
3	0.4	0.4	0.0569548769013634	0.201187791028027	0.188763112336391	3.53240673975034	4.31416308572388	0.0569548769013634	0.0569548769013634	0.224167934150233	0.214702898704633	3.93588655346328	3.76970174259992
3	0.4	0.6	0.0573794932501053	0.174302327706655	0.136722294259265	3.03771117229821	3.66842715138282	0.0573794932501053	0.0573794932501053	0.199660107000954	0.19539259492531	3.47964221521924	3.4052687442469
3	0.4	0.8	0.0488904861883792	0.15415645958257	0.171724729635136	3.15309729153833	4.06984688005296	0.0488904861883792	0.0488904861883792	0.209573813085881	0.20841567841605	4.28659703399912	4.26290868969899
3	0.4	1	0.0564674682279206	0.158898488124984	0.138553204083339	2.81398286680074	3.49633518155957	0.0564674682279206	0.0564674682279206	0.186291971856905	0.179724380471213	3.29910261081604	3.18279508735523
3	0.6	0	0.0557738107501926	0.185406973637743	0.159476492443921	3.32426583631105	3.63873215896234	0.0557738107501926	0.0557738107501926	0.20355136032222	0.197848274146561	3.64958674303095	3.54733290563041
3	0.6	0.2	0.0584776764304437	0.234081433414768	0.234825281206934	4.00291953619595	4.88733418024911	0.0584776764304437	0.0584776764304437	0.228144292334224	0.221391034947632	3.901391201916	3.78590683593535
3	0.6	0.4	0.0545356255309811	0.227249781517306	0.249341763558613	4.16699688148268	5.50650505095294	0.0545356255309811	0.0545356255309811	0.214332290269624	0.208764107881007	3.93013352616382	3.82803178378159
3	0.6	0.6	0.0562650178580398	0.177445455709084	0.176319773762112	3.15374387966587	3.73821954643376	0.0562650178580398	0.0562650178580398	0.195390963155836	0.192011151152177	3.47268996961521	3.41262046048992
3	0.6	0.8	0.0538627659509779	0.161104748562385	0.170645264374828	2.99102256852185	3.6357989986276	0.0538627659509779	0.0538627659509779	0.201888631652433	0.197599413498446	3.74820394177636	3.66857160061715
3	0.6	1	0.0586301487703447	0.186910825770966	0.217287119894655	3.18796437824334	4.08034363027839	0.0586301487703447	0.0586301487703447	0.23797080574269	0.227794096544099	4.05884703917136	3.88527236109144
3	0.8	0	0.0539477447185596	0.181967461803478	0.181257608689894	3.37303186171703	3.87411392524641	0.0539477447185596	0.0539477447185596	0.202383453210724	0.192930972955324	3.75147198954358	3.57625650454579
3	0.8	0.2	0.0544674497089853	0.177571968537174	0.177855412507575	3.26014839112029	3.86802175202856	0.0544674497089853	0.0544674497089853	0.201598802862844	0.19696604684511	3.70127119848586	3.61621570125794
3	0.8	0.4	0.0519078785010763	0.184784535794428	0.19529950972115	3.55985528845292	4.2906367555928	0.0519078785010763	0.0519078785010763	0.197097160160144	0.19255188078673	3.79705674459528	3.70949239974694
