"beta"	"gamma"	"sample_size"	"not_beta"	"not_gamma"	"not_r0"	"jitter_beta"	"jitter_gamma"	"jitter_r0"
0.5	0.2	189	0.575032620402708	0.20161618998234	2.85211530112277	0.569935739997913	0.200409624667332	2.84385413596763
0.2	0.05	193	0.206487829367654	0.0532683201285427	3.87637208887713	0.206796429158798	0.0531711674681551	3.88925876571454
0.2	0.1	183	0.211754283059357	0.0790510895600271	2.67870163761073	0.209489502384592	0.0783374490786017	2.67419356704346
0.2	0.2	53	0.206897158307673	0.179586548828526	1.15207491684259	0.20255202071365	0.175976954555417	1.15101446791923
0.3	0.05	200	0.312645714433187	0.0512321468554951	6.10253002504527	0.312257586148437	0.0512542842005848	6.0923216667393
0.3	0.1	182	0.286947994903841	0.101432654117472	2.82895086794751	0.285391597951253	0.100973273127677	2.82640731662117
0.3	0.2	120	0.284856540632422	0.184337296929026	1.54530062758867	0.283480171389232	0.183162827194335	1.54769488837634
0.4	0.05	200	0.375345723037681	0.0506399740039935	7.41204414931338	0.37810331811307	0.0507556612253824	7.44948068815592
0.4	0.1	194	0.37409373172785	0.109920724749664	3.40330481426336	0.373267029046636	0.109646840297717	3.40426616976037
0.4	0.2	147	0.358924945222886	0.19592138311767	1.83198454151029	0.352977394312215	0.194112244258321	1.81841900628628
0.5	0.05	200	0.574217659289449	0.0536386262066238	10.7053013825797	0.567437179501209	0.0535804379506189	10.5903796460972
0.5	0.1	200	0.473793386315217	0.0911085781189576	5.20031588789147	0.475303153219292	0.0914616507821986	5.19674802668007
0.5	0.2	167	0.462867334006831	0.229359761075704	2.01808430491892	0.457682602948744	0.227498693713636	2.01180321292241
0.2	0.05	188	0.190546809729929	0.0553764459403454	3.44093606034589	0.190544460557056	0.055316581605967	3.44461741895675
0.2	0.1	157	0.194467339787022	0.0988201677138489	1.96789121376657	0.193439701572993	0.0982431644083472	1.96898891376261
0.2	0.2	15	0.332644949370851	0.339741104587995	0.979113050727996	0.357316933870664	0.364313850490575	0.980794261292868
0.3	0.05	199	0.297890632389779	0.0500452638324051	5.9524240572969	0.300792378163653	0.0501829552246803	5.99391520122596
0.3	0.1	196	0.31682041488828	0.096735996821367	3.27510363565407	0.317243223300446	0.0974254072325327	3.25626787007682
0.3	0.2	129	0.292738347203556	0.193995480845308	1.50899570406481	0.293665626378432	0.194628061498363	1.50885552739733
0.4	0.05	200	0.393471535171029	0.044489505399279	8.84414271724868	0.393124501904582	0.0445085259333654	8.83256620300427
0.4	0.1	195	0.373257088271484	0.0903707636667122	4.13028587041775	0.37005729095178	0.0902221088526571	4.10162537384407
0.4	0.2	164	0.38859672044364	0.178794039307405	2.17343219018345	0.388465012893891	0.179407811559045	2.16526253521599
0.5	0.05	200	0.488870723666993	0.0471275829760334	10.3733459854202	0.486356071858193	0.047107435741277	10.3244013223168
0.5	0.1	200	0.475543991642019	0.09231242686815	5.1514623520974	0.479105088220605	0.0923006780975666	5.19069954951107
